State,Area,Ever_Tob_Use,Curr_Tob_Use,Ever_Smoke,Curr_Smoke,Ever_Cig,Curr_Cig,Ever_Bidi,Curr_Bidi,Seen_Cig_Ads_POS,Taught_Tob_Effects,Hard_To_Quit,SHS_Harmful,Ban_Indoor,Ban_Outdoor,Aware_COTPA,Fine_Auth,Tobacco_Free_Guideline,Aware_Board_Policy
India,Total,18.1,8.5,11,7.3,4.6,2.6,4.1,2.1,17.5,37.8,26,70.6,58.1,60.5,85.4,38.2,82.1,82.5
India,Urban,13.5,5.5,8.1,4.5,4.1,2.3,3.7,1.9,16.3,34.1,30.1,73.3,64.8,67.4,86.9,36.4,82.4,83
India,Rural,19.5,9.4,11.8,8.1,4.7,2.6,4.3,2.2,17.8,38.9,24.8,69.8,56.1,58.6,84.6,39.2,81.9,82.2
Andaman and Nicobar Islands,Total,21.5,4.4,8.8,3.7,4.4,1.3,2.7,1,21.1,23.4,23,69,65,60.6,88.6,1.1,76,67.9
Andaman and Nicobar Islands,Urban,13.3,3.4,6.5,2.6,3.7,1.3,2,0.7,20.2,25.7,26.9,66.6,65.1,60.9,89.1,0,85.3,42.5
Andaman and Nicobar Islands,Rural,26.8,5.1,10.2,4.4,4.8,1.4,3.2,1.3,21.7,22,20.5,70.6,65,60.4,88,2.4,64.2,100
Andhra Pradesh,Total,7.3,2.6,4.4,1.8,2.6,1.1,2.3,0.8,9.1,22.9,30.6,72.9,50.2,50.8,48.5,9.1,51.5,36.4
Andhra Pradesh,Urban,4.5,0.7,2,0.7,1.2,0.4,1.2,0.3,10.6,18.4,34.8,78.2,64.1,62.4,58.3,8.3,50,41.7
Andhra Pradesh,Rural,8.8,3.5,5.6,2.4,3.4,1.4,2.9,1,8.3,25.3,28.5,70.1,42.9,44.7,42.9,9.5,52.4,33.3
Arunachal Pradesh,Total,63.1,57.9,59.2,53.5,47.9,45.9,48.8,45.9,19,20.9,15.6,47.1,67.6,69.6,63.6,50,50,63.6
Arunachal Pradesh,Urban,55.7,51.4,54.5,50,47.8,47.8,48.1,47.4,8.7,15.1,11.6,51.8,79.4,76.5,77.8,33.3,33.3,66.7
Arunachal Pradesh,Rural,75.7,69.2,67.2,59.6,48,42.8,50.2,43.3,36.5,30.8,22.4,39,47.4,57.9,53.9,61.5,61.5,61.5
Assam,Total,16.2,11.9,12.3,10.5,5.3,4.3,3.4,2.9,15.5,40,18.3,74.2,53.7,52.6,81.3,31.3,90.6,84.4
Assam,Urban,14.5,5.3,8.8,5.3,7.3,4.6,2.4,1.1,24.3,51,19,83.8,68.7,64.4,100,0,80,80
Assam,Rural,16.3,12.5,12.6,10.9,5.2,4.3,3.5,3.1,14.8,39.1,18.2,73.3,52.4,51.5,77.8,37,92.6,85.2
Bihar,Total,21.5,7.3,9.4,4.7,4.8,2.3,3.3,1.8,17.3,39.4,22.5,61.8,52.2,55.5,100,37.1,94.3,97.1
Bihar,Urban,15.2,7,10,6.9,7.2,4.4,5.5,5,14.4,40.3,30.1,85.1,81.5,85.5,100,50,100,100
Bihar,Rural,21.9,7.3,9.4,4.6,4.7,2.1,3.1,1.6,17.4,39.4,22.1,60.4,50.4,53.7,100,35.5,93.6,96.8
Chandigarh,Total,10.3,3,6.9,2.5,1.1,0.6,3.2,0.6,13.5,37.7,35.5,76.2,71.4,70.4,100,42.9,95.2,100
Chandigarh,Urban,10.3,3,7,2.5,1.1,0.5,3.2,0.7,13.6,38.7,36.5,77.7,73.8,72.5,100,42.1,94.7,100
Chandigarh,Rural,9.9,3.2,4.8,3.2,1.6,1.6,3.2,0.1,11.4,16,14.1,45.3,20.4,26.6,100,50,100,100
Chhattisgarh,Total,18.8,8,10.4,6.9,6.3,4.5,4.2,2.2,15.8,47.1,26.3,70.7,63.8,69.1,71,19.4,96.8,90.3
Chhattisgarh,Urban,17.4,7.5,13.9,7.3,4.8,3.7,6,2,16.2,30.7,26.6,68.6,70.7,74.4,88.9,22.2,100,100
Chhattisgarh,Rural,19.1,8.1,9.5,6.8,6.6,4.7,3.8,2.2,15.7,50.8,26.2,71.2,62.2,67.8,63.6,18.2,95.5,86.4
Dadra and Nagar Haweli,Total,15.3,2.4,4.6,2.2,1.7,1.1,2.5,1.3,22.4,33,19.8,77.9,56.1,55.9,100,22.2,88.9,88.9
Dadra and Nagar Haweli,Urban,7.1,2.1,4.7,2.1,1.6,1.2,3.1,1.2,21.4,28,26.4,78.9,62.6,62.3,100,16.7,100,83.3
Dadra and Nagar Haweli,Rural,19.2,2.5,4.5,2.2,1.7,1.1,2.2,1.4,22.8,35.3,16.6,77.5,53,52.9,100,25,83.3,91.7
Daman and Diu,Total,11.8,4.3,6.9,3.4,3.4,2.2,3.5,2.1,18.7,25.1,27,72.2,66.6,63.7,94.1,41.2,76.5,88.2
Daman and Diu,Urban,8.6,1.9,4.2,1.1,2,0.5,1.5,0.9,14.5,26.5,29.7,73.9,70.8,68.6,100,42.9,85.7,85.7
Daman and Diu,Rural,13.3,5.5,8.1,4.5,4,3,4.4,2.7,20.7,24.4,25.7,71.4,64.6,61.4,90,40,70,90
Delhi,Total,16.5,8,11.6,7.5,3.9,2.7,3,2.5,11.8,45.3,46.1,78,61.5,63.5,100,33.3,100,96.7
